Month,CBSACode,CBSATitle,Country,PropertyType,NoOfBdrs,MedianListingPrice ,MedianListingPrice M/M,MedianListingPrice Y/Y,MedianListingSqft ,MedianListingSqft M/M,MedianListingSqft Y/Y,MedianListingPricePerSqft,MedianListingPricePerSqft M/M,MedianListingPricePerSqft Y/Y,ActiveListingCount,ActiveListingCount M/M,ActiveListingCount Y/Y,DOMUnder30,DOMUnder30 M/M,DOMUnder30 Y/Y,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,NewListingCount,NewListingCount M/M,NewListingCount Y/Y,PriceIncreasedCount,PriceIncreasedCount M/M,PriceIncreasedCount Y/Y,PriceReducedCount,PriceReducedCount M/M,PriceReducedCount Y/Y,PendingListingCount,PendingListingCount M/M,PendingListingCount Y/Y,TotalListingCount,TotalListingCount M/M,TotalListingCount Y/Y,PendingRatio,PendingRatio M/M,PendingRatio Y/Y,Views M/M,Views Y/Y,ViewsPerProperty M/M,ViewsPerProperty Y/Y,QualityFlagPending,QualityFlagSqft
201808,37060,"Oxford, MS",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,151300.000000,-0.0304,-0.2126,1180.00000,0.0000,-0.0375,131.60133151146825,-0.0767,-0.2415,46.0,0.1220,0.0000,0.2282,0.0396,0.3130,79.00,12.00,0.1791,-39.25,-0.3319,10.0,0.2500,0.0000,0.0,,,16.0,3.0000,1.6667,11.0,-0.4211,,57.0,-0.0500,0.2391,0.2391,-0.2243,0.2391,0.5425,-0.1171,0.2619,-0.1311,1,0
201808,35260,"New Castle, PA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,248450.000000,-0.0100,0.0102,,,,,,,39.5,0.0128,-0.0814,0.1012,2.9531,1.8997,236.50,31.50,0.1537,165.00,2.3077,0.0,-1.0000,,0.0,,,0.0,,-1.0000,2.0,-0.3333,1.0000,41.5,-0.0119,-0.0568,0.0506,-0.0263,0.0274,0.0758,0.0848,0.1000,0.2222,0,1
201808,46660,"Valdosta, GA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,73550.000000,0.0000,0.2077,1080.00000,0.0000,0.0056,69.44444444444400,0.0000,0.2268,3.0,0.0000,2.0000,0.0000,,,216.50,31.50,0.1703,21.00,0.1074,0.0,,,0.0,,,0.0,,,0.0,,,3.0,0.0000,2.0000,0.0000,0.0000,0.0000,-0.2458,3.6842,-0.2368,0.5263,0,0
201808,31700,"Manchester-Nashua, NH",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,212225.000000,0.0108,0.0611,1407.00000,-0.0035,0.0072,160.07730535615600,0.0180,0.0527,211.5,-0.0298,-0.2500,0.3994,-0.0636,0.0936,42.25,3.25,0.0833,-1.25,-0.0287,94.0,-0.0600,-0.0408,0.0,,-1.0000,40.0,0.4286,-0.1667,0.0,,,211.5,-0.0298,-0.2500,0.0000,0.0000,0.0000,0.0272,0.0274,0.0652,0.3611,0,0
201808,34860,"Nacogdoches, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,127550.000000,1.0262,0.8208,1734.00000,0.9267,0.6452,74.69496949694900,0.0260,0.1246,3.0,2.0000,-0.6667,0.6667,,0.1999,15.25,-97.75,-0.8650,-8.25,-0.3511,2.0,,-0.5000,0.0,,,0.0,,,0.0,,,3.0,2.0000,-0.6667,0.0000,0.0000,0.0000,2.2381,-0.3211,0.3969,0.9357,0,0
201808,25180,"Hagerstown-Martinsburg, MD-WV",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,134112.500000,0.0320,-0.0236,1153.50000,-0.0491,-0.1366,109.08841706539050,0.0156,0.0307,30.0,0.0714,-0.4059,0.2667,0.8663,-0.1310,110.00,9.50,0.0945,35.25,0.4716,8.0,1.0000,-0.6364,0.0,,,0.0,,-1.0000,0.0,,,30.0,0.0714,-0.4059,0.0000,0.0000,0.0000,0.3794,-0.2441,0.3243,0.3067,0,0
201808,15980,"Cape Coral-Fort Myers, FL",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,199950.000000,0.0033,0.0147,1238.25000,-0.0030,-0.0014,154.75713186540400,0.0055,0.0236,1449.5,-0.0808,-0.0143,0.1686,-0.0571,-0.1328,105.50,9.50,0.0990,-3.00,-0.0276,252.0,-0.1711,-0.1975,14.0,0.7500,-0.3000,200.0,-0.2647,0.0204,410.0,0.0049,0.1342,1859.5,-0.0632,0.0150,0.2829,0.0241,0.0370,-0.1105,-0.0683,-0.0139,-0.0658,0,0
201808,34380,"Mount Pleasant, MI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,127300.000000,-0.0059,-0.0514,1325.00000,0.0251,0.2002,103.00324675324625,-0.0559,-0.1116,8.0,0.3333,-0.1111,0.3750,0.1251,2.3753,41.00,-6.00,-0.1277,-150.75,-0.7862,2.0,-0.5000,,0.0,,,2.0,,,0.0,,,8.0,0.3333,-0.1111,0.0000,0.0000,0.0000,-0.2909,0.2787,-0.3472,0.8077,0,0
201808,28500,"Kerrville, TX",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,233550.000000,0.4150,0.0686,1451.00000,-0.0928,-0.0460,169.67686614315300,0.4923,0.2243,6.0,0.5000,-0.4286,0.5833,,2.0635,22.00,-124.00,-0.8493,-39.50,-0.6423,2.0,,0.0000,0.0,,,0.0,,,0.0,,-1.0000,6.0,0.5000,-0.4783,0.0000,0.0000,-0.0952,0.4901,-0.5293,-0.0100,-0.3028,0,0
201808,42660,"Seattle-Tacoma-Bellevue, WA",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,375050.000000,-0.0434,0.1628,1096.00000,-0.0072,0.0111,344.84265734265700,-0.0238,0.1679,620.5,0.2002,0.6907,0.5745,-0.0833,-0.0912,26.50,2.50,0.1042,4.75,0.2184,502.0,0.2677,0.2304,8.0,-0.6000,-0.5000,254.0,0.3804,1.5400,375.0,-0.1573,12.8889,995.5,0.0348,1.5266,0.6044,-0.2564,0.5308,0.1323,-0.0285,-0.1277,-0.4184,1,0
201808,15580,"Butte-Silver Bow, MT",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,225050.000000,-0.0217,,1437.00000,0.0000,,156.57620041753600,-0.0218,,0.0,-1.0000,,,,,24.00,21.00,7.0000,,,0.0,-1.0000,,0.0,,,0.0,,,0.0,-1.0000,,0.0,-1.0000,,,,,-0.7600,,,,0,0
201808,48020,"Watertown-Fort Atkinson, WI",USA,Condo/Townhome/Row Home/Co-Op,bdrs_2,265050.000000,0.0000,0.0600,1548.00000,0.0000,0.0000,171.18863049095600,0.0000,0.0600,38.5,0.1324,-0.2062,0.1558,-0.1173,0.3751,1093.50,31.50,0.0297,575.50,1.1110,2.0,,0.0000,0.0,,,2.0,,,0.0,,,38.5,0.1324,-0.2062,0.0000,0.0000,0.0000,0.0294,0.0219,-0.0769,0.4118,0,0
