FULL ADDRESS,FIRST SALE,FIRST PRICE,LAST SALE,LAST PRICE,PRICE CHANGE,PERIOD,DAILY PRICE CHANGE
"300 EAST 55 STREET, 3E",2004-12-22,987702,2005-04-12,1380000,392298,111,3534.2162162162163
"240 WEST 98TH ST.NY,NY, 13B",2008-03-04,1004529,2009-03-06,2300000,1295471,367,3529.893732970027
"155 FRANKLIN STREET, 4S",2014-09-15,4750000,2015-05-14,5600000,850000,241,3526.9709543568465
"201 EAST 80TH STREET, 8G",2012-12-21,200000,2016-02-12,4200000,4000000,1148,3484.320557491289
"15 BROAD STREET, 1414",2006-06-16,1071460,2006-11-22,1625000,553540,159,3481.383647798742
"250 EAST 53RD STREET, 2901",2008-05-09,2300511,2008-09-16,2750000,449489,130,3457.607692307692
"597 BROADWAY, 4W",2004-12-15,2500000,2007-03-22,5350000,2850000,827,3446.1910519951634
"225 WEST 60TH   STREET, 15B",2013-11-19,1252598,2014-04-25,1790000,537402,157,3422.9426751592355
"70 LITTLE WEST STREET, 3A",2015-06-24,490000,2015-12-09,1065000,575000,168,3422.6190476190477
"15 BROAD STREET, 2216",2006-07-18,1097216,2006-11-01,1460000,362784,106,3422.490566037736
"48 BEACH STREET, 3C",2012-02-22,2687290,2013-03-28,4042819,1355529,400,3388.8225
"212 WEST 18TH   STREET, 16D",2013-11-26,5905850,2017-09-15,10600000,4694150,1389,3379.517638588913
"200 EAST 79TH   STREET, 5A",2013-10-24,3253308,2014-10-28,4500000,1246692,369,3378.569105691057
"28 LAIGHT STREET, 6AB",2009-07-21,4400000,2011-08-03,6900000,2500000,743,3364.737550471063
"39 VESTRY STREET, 1A",2011-05-24,3550000,2013-02-20,5687500,2137500,638,3350.3134796238246
"151 EAST 58 STREET, 33F",2005-05-19,3843893,2005-11-01,4400000,556107,166,3350.0421686746986
"2211 BROADWAY, 3B",2015-05-28,4100000,2017-05-22,6500000,2400000,725,3310.344827586207
"25 COLUMBUS CIRCLE, ST57E",2003-12-31,2153465,2004-05-14,2600000,446535,135,3307.6666666666665
"15 BROAD STREET, 1914",2006-06-15,1174485,2006-11-21,1700000,525515,159,3305.125786163522
"768 5 AVENUE, 902",2013-06-25,3250000,2014-10-10,4800000,1550000,472,3283.898305084746
"15 BROAD STREET, 1724",2007-01-08,656771,2007-07-11,1255000,598229,184,3251.2445652173915
"744 GREENWICH STREET, PH",2007-05-11,7076837,2008-07-22,8500000,1423163,438,3249.2305936073058
"5 FRANKLIN PLACE, 12A",2016-04-25,3617333,2017-01-23,4500000,882667,273,3233.2124542124543
"1 YORK STREET, 11A",2008-12-08,14747425,2012-12-18,19500000,4752575,1471,3230.846363018355
"151 EAST 58TH STREET, 37F",2006-03-09,3450000,2007-09-10,5225000,1775000,550,3227.2727272727275
"155 WEST 68TH   STREET, 34-B",2012-05-08,15000,2013-11-01,1750000,1735000,542,3201.1070110701107
"41 WEST 72ND STREET, 12A",2017-07-17,1400000,2018-06-26,2495000,1095000,344,3183.139534883721
"15 CENTRAL PARK WEST, 11K",2007-12-03,5162527,2010-10-07,8450000,3287473,1039,3164.0741097208856
"145 EAST 48TH   STREET, 22G",2017-07-27,250000,2018-03-09,960000,710000,225,3155.5555555555557
"15 BROAD STREET, 2130",2006-11-15,605858,2007-04-16,1085000,479142,152,3152.25
"38 LAIGHT STREET, 4A",2005-01-12,1570802,2006-12-06,3750000,2179198,693,3144.5858585858587
"721 5 AVENUE, 42A",2008-07-15,1625000,2009-11-10,3137500,1512500,483,3131.4699792960664
"73 WORTH STREET, 2B",2014-03-13,3600000,2015-01-29,4600000,1000000,322,3105.590062111801
"15 CENTRAL PARK WEST, 23C",2008-06-30,4734862,2009-08-14,6000000,1265138,410,3085.70243902439
"15 WEST 53 STREET, 45B/C",2004-07-06,2775000,2006-10-04,5300000,2525000,820,3079.268292682927
"1107 BROADWAY, 5A",2015-10-30,1325214,2016-04-29,1885000,559786,182,3075.747252747253
"25 COLUMBUS CIRCLE, ST61B",2005-06-14,5046674,2008-07-16,8500000,3453326,1128,3061.459219858156
"310 WEST 52ND   STREET, 36J",2007-05-31,1247356,2007-09-07,1550000,302644,99,3057.010101010101
"65 LEONARD STREET, 5",2012-12-04,2150000,2015-05-06,4847500,2697500,883,3054.9263873159684
"207 EAST 57TH STREET, 19A",2012-06-05,1791213,2012-12-20,2395000,603787,198,3049.429292929293
"13 RECTOR STREET, 1901",2008-01-31,1965000,2008-05-29,2325000,360000,119,3025.2100840336134
"40 MERCER STREET, 18",2007-04-20,3640243,2007-11-21,4289700,649457,215,3020.7302325581395
"15 BROAD STREET, 1710",2006-06-20,1608835,2006-10-06,1935000,326165,108,3020.046296296296
"222 WEST 14 STREET, 8E",2004-04-20,400000,2004-12-17,1125000,725000,241,3008.298755186722
"230 WEST 56 STREET, 63A",2003-06-04,2810370,2003-11-14,3300000,489630,163,3003.865030674847
"15 BROAD STREET, 2112",2006-06-29,1092065,2006-12-14,1596000,503935,168,2999.6130952380954
"230 WEST 56 STREET, 49B",2003-03-10,1114934,2003-08-19,1600000,485066,162,2994.2345679012346
"2211 BROADWAY, 7J",2010-12-28,3906261,2013-02-25,6250000,2343739,790,2966.7582278481013
"150 CHARLES STREET, 6DN",2015-12-21,7000594,2016-06-07,7500000,499406,169,2955.0650887573966
"1107 BROADWAY, 2D",2017-03-03,3003837,2018-04-30,4250000,1246163,423,2946.0118203309694
"7 HUBERT STREET, 6B",2004-08-18,4505756,2007-06-12,7520000,3014244,1028,2932.1439688715955
"65 WEST 13TH STREET, 11A",2009-03-31,3750000,2011-09-09,6350000,2600000,892,2914.798206278027
"101 WEST 87TH   STREET, 202",2014-02-06,274395,2014-09-05,888000,613605,211,2908.0805687203792
"52 EAST 72ND STREET, 7",2007-11-15,1650000,2010-06-22,4400000,2750000,950,2894.7368421052633
"22 GRAMERCY PARK SOUTH, 2",2012-07-26,9186142,2016-09-30,13600000,4413858,1527,2890.542239685658
"123 WASHINGTON STREET, 43B",2013-09-19,2026875,2014-02-04,2425000,398125,138,2884.963768115942
"1 MORTON SQUARE, 8B W",2004-12-14,2952925,2007-02-27,5275000,2322075,805,2884.5652173913045
"50 CENTRAL PARK WEST, 4A",2003-12-12,228036,2004-08-05,910000,681964,237,2877.4852320675104
"15 BROAD ST, 1030",2007-03-30,880786,2007-08-09,1260000,379214,132,2872.8333333333335
"47 EAST 91ST STREET, 3",2004-09-14,5829481,2007-07-17,8800018,2970537,1036,2867.3137065637065
"217 WEST 19TH STREET, 6N",2008-04-21,2400000,2008-11-06,2970300,570300,199,2865.829145728643
"212 WEST 18TH   STREET, PH5",2014-01-29,14255500,2017-03-08,17500000,3244500,1134,2861.1111111111113
"230 WEST 78TH   STREET, 16A",2011-05-26,7127750,2015-02-09,11000000,3872250,1355,2857.749077490775
"80 RIVERSIDE BOULEVARD, 35C/D",2011-03-29,5500000,2012-04-18,6600000,1100000,386,2849.740932642487
"1 CENTRAL PARK WEST, 28G",2010-12-20,5150000,2012-01-10,6250000,1100000,386,2849.740932642487
"279 CENTRAL PARK WEST, PH6A",2003-08-21,2800000,2004-04-23,3500000,700000,246,2845.528455284553
"59 WEST 12 STREET, 10B",2003-10-30,455000,2006-08-25,3375000,2920000,1030,2834.9514563106795
"40 EAST 61ST STREET, 5A",2005-03-31,900000,2005-08-01,1248000,348000,123,2829.268292682927
"170 EAST END AVENUE, 12B",2008-12-12,5625831,2009-07-23,6250000,624169,223,2798.964125560538
"80 COLUMBUS CIRCLE, NT68D",2004-03-19,4862144,2006-02-17,6800000,1937856,700,2768.365714285714
"49 EAST 21ST STREET, 8A",2004-11-17,1282995,2005-04-08,1675000,392005,142,2760.5985915492956
"88 FRANKLIN STREET, 3",2012-12-21,3576197,2016-04-29,6925000,3348803,1225,2733.7167346938777
"407 GREENWICH STREET, 2A",2017-02-16,3550000,2017-11-07,4270000,720000,264,2727.2727272727275
"5 EAST 22 STREET, 19-C",2003-11-06,915000,2004-06-08,1500000,585000,215,2720.9302325581393
"15 BROAD STREET, 1506",2006-06-16,664511,2006-10-06,969000,304489,112,2718.651785714286
"207 EAST 57TH   STREET, 34A",2007-07-03,3436593,2008-05-16,4300000,863407,318,2715.116352201258
"20 WEST 64TH STREET, 10R",2009-02-19,450000,2010-02-23,1450000,1000000,369,2710.027100271003
"1 CENTRAL PARK WEST, 39G",2004-05-25,5738615,2006-05-01,7650000,1911385,706,2707.344192634561
"345 WEST 13TH STREET, 5F",2009-06-30,3000000,2010-12-01,4400000,1400000,519,2697.495183044316
"25 COLUMBUS CIRCLE, ST56A",2003-12-12,3978047,2008-06-20,8425000,4446953,1652,2691.8601694915255
"217 WEST 14 STREET, 5R",2004-08-30,765000,2005-07-07,1600000,835000,311,2684.887459807074
"207 EAST 57TH STREET, 30B",2010-08-12,970000,2011-12-22,2300000,1330000,497,2676.056338028169
"205 EAST 85TH   STREET, PH1A",2010-08-09,6671874,2013-07-24,9550000,2878126,1080,2664.9314814814816
"80 COLUMBUS CIRCLE, NT64B",2004-07-06,3563875,2008-05-08,7300000,3736125,1402,2664.8537803138374
"56 LEONARD STREET, 20BW",2016-06-22,5927168,2017-02-28,6595000,667832,251,2660.6852589641435
"120 RIVERSIDE BOULEVARD, 7A",2006-02-07,562074,2006-05-15,820000,257926,97,2659.0309278350514
"137 DUANE STREET, 3A",2014-04-03,6211325,2018-04-12,10116000,3904675,1470,2656.2414965986395
"900 PARK AVENUE, 17A",2007-06-05,2200000,2008-06-16,3200000,1000000,377,2652.5198938992044
"41 WEST 72ND STREET, 14C",2005-06-16,610950,2007-03-13,2295000,1684050,635,2652.047244094488
"1107 BROADWAY, 6D",2015-12-17,3614787,2016-06-17,4100000,485213,183,2651.437158469945
"438 EAST 12TH STREET, 3A",2018-03-14,1349181,2018-06-28,1630000,280819,106,2649.235849056604
"225 LAFAYETTE STREET, 4A",2005-01-12,1038615,2005-08-22,1625000,586385,222,2641.373873873874
"1 CENTRAL PARK WEST, 31C",2004-04-27,2272500,2005-11-09,3750000,1477500,561,2633.6898395721923
"205 WEST 76TH   STREET, 1402",2010-05-03,6275323,2012-09-13,8550000,2274677,864,2632.728009259259
"132 WEST 22ND STREET, 5",2011-09-02,3200000,2013-09-03,5125000,1925000,732,2629.781420765027
"1235 PARK AVENUE, 11B",2007-01-11,1725000,2007-06-18,2138325,413325,158,2615.981012658228
"25 CENTRAL PARK WEST, 17R",2009-06-12,3360225,2013-07-30,7300000,3939775,1509,2610.85155732273
"155 FRANKLIN STREET, 2N",2013-10-02,5870000,2017-11-10,9750000,3880000,1500,2586.6666666666665
"1641 3 AVENUE, 8H",2003-02-20,361998,2003-05-29,615000,253002,98,2581.6530612244896
"211 EAST 13TH   STREET, 3K",2014-06-17,1743207,2015-01-09,2275000,531793,206,2581.519417475728
"721 5 AVENUE, 61A/B",2010-01-29,5941967,2013-11-20,9500000,3558033,1391,2557.8957584471605
"151 EAST 58TH   STREET, 34B",2007-03-22,10995000,2011-02-18,14650000,3655000,1429,2557.732680195941
"2211 BROADWAY, 8L",2010-07-27,3865277,2013-09-19,6800000,2934723,1150,2551.933043478261
"54 BLEECKER STREET, 5B",2010-05-18,825000,2014-09-16,4850000,4025000,1582,2544.2477876106195
"2211 BROADWAY, 11C",2010-09-03,3851021,2011-11-09,4950000,1098979,432,2543.9328703703704
"225 5 AVENUE, 7J",2007-02-07,3036930,2007-12-12,3820000,783070,308,2542.435064935065
"141 WEST 24 STREET, RES-7",2003-09-02,1530939,2005-07-07,3239750,1708811,674,2535.327893175074
"123 WASHINGTON STREET, 41A",2013-09-19,1380672,2014-05-16,1985587,604915,239,2531.0251046025105
"140 EAST 63RD STREET, 6D",2007-12-04,2031408,2008-04-18,2375000,343592,136,2526.4117647058824
"161 GRAND STREET, 9A",2005-09-14,100000,2008-07-29,2750000,2650000,1049,2526.2154432793136
"150 CHARLES STREET, 7BS",2016-02-02,12253689,2017-09-19,13750000,1496311,595,2514.8084033613445
"101 WARREN STREET, 960M",2011-02-28,100000,2013-07-24,2300000,2200000,877,2508.551881413911
"93 CROSBY STREET, 6",2012-12-10,560037,2015-12-07,3275000,2714963,1092,2486.2298534798533
"7 HUBERT STREET, 11B",2004-09-10,3446776,2008-02-19,6570000,3123224,1257,2484.66507557677
