SALE DATE,BLOCK,LOT,YEAR BUILT,ZIP CODE,SALE PRICE
2015-10-22,376,24,1900,10009,3775000
2015-06-24,377,66,1899,10009,2900000
2015-06-15,399,1101,1955,10009,6995000
2015-11-17,373,16,1899,10009,20000000
2015-02-05,376,7,1900,10009,14550000
2015-09-10,377,2,1900,10009,16700000
2015-03-11,379,37,1930,10009,10500000
2015-01-29,386,11,1900,10009,800265
2015-12-09,387,119,1920,10009,11250000
2015-05-29,392,33,1900,10009,1373501
2015-10-02,398,43,1900,10009,17000000
2015-08-26,400,55,1900,10009,6490000
2015-09-10,405,13,1920,10009,5200000
2015-09-10,405,15,1920,10009,7140000
2015-11-04,406,1,1910,10009,16750000
2015-07-17,400,31,1970,10009,6588183
2015-05-12,373,40,1920,10009,430000
2015-02-18,373,49,1920,10009,420000
2015-05-29,373,49,1920,10009,450000
2015-04-07,375,30,1902,10009,240960
2015-07-02,376,18,1928,10009,775000
2015-09-09,376,18,1928,10009,900000
2015-07-16,376,19,1910,10009,650000
2015-08-20,376,19,1910,10009,600000
2015-08-24,376,19,1910,10009,440000
2015-07-07,377,62,2001,10009,295000
2015-01-06,377,67,1900,10009,359000
2015-06-05,377,67,1900,10009,860000
2015-01-29,379,15,1930,10009,215000
2015-03-31,379,48,1900,10009,3312459
2015-03-31,379,48,1900,10009,3312459
2015-08-18,387,15,1900,10009,245000
2015-11-19,387,37,1900,10009,688050
2015-08-14,389,2,1900,10009,1157500
2015-04-02,389,9,1900,10009,505000
2015-05-21,389,30,1950,10009,355000
2015-06-24,390,42,1910,10009,550000
2015-09-02,390,42,1910,10009,475000
2015-09-29,391,20,1910,10009,17872
2015-07-22,391,48,1910,10009,525000
2015-08-04,391,48,1910,10009,820000
2015-05-26,391,56,1900,10009,675000
2015-07-10,392,36,1900,10009,610000
2015-08-07,392,36,1900,10009,630000
2015-07-17,394,52,1937,10009,380000
2015-09-09,394,52,1937,10009,482500
2015-11-12,394,52,1937,10009,495000
2015-04-09,396,20,1920,10009,430000
2015-07-29,396,20,1920,10009,425000
2015-09-10,396,20,1920,10009,425000
2015-11-16,396,20,1920,10009,550000
2015-06-03,398,58,1950,10009,425000
2015-05-28,400,45,1937,10009,589000
2015-07-02,401,12,1900,10009,760000
2015-05-21,401,57,1929,10009,320000
2015-12-21,404,50,1900,10009,895000
2015-09-29,406,50,1901,10009,407500
2015-09-29,406,50,1901,10009,407500
2015-10-07,406,50,1901,10009,440000
2015-06-30,406,61,1900,10009,599000
2015-11-04,407,44,1900,10009,1075000
2015-05-21,379,45,1920,10009,3050000
2015-03-31,385,56,1900,10009,780000
2015-08-07,385,56,1900,10009,549000
2015-01-07,386,36,1940,10009,49032
2015-06-24,386,58,1900,10009,500000
2015-01-14,387,44,1920,10009,265000
2015-05-11,398,8,1940,10009,940000
2015-05-07,398,8,1940,10009,805000
2015-06-15,398,8,1940,10009,750430
2015-07-29,398,8,1940,10009,1250000
2015-12-21,398,8,1940,10009,950000
2015-05-01,386,1004,0,10009,1900000
2015-04-30,386,1008,0,10009,1850000
2015-07-29,386,1011,0,10009,2250000
2015-07-08,394,1207,0,10009,1500000
2015-07-29,394,1212,0,10009,1700000
2015-06-25,398,1022,0,10009,998000
2015-04-30,398,1027,0,10009,875000
2015-08-14,405,1211,0,10009,1800000
2015-08-05,407,1119,0,10009,1250000
2015-08-14,375,1017,0,10009,975000
2015-12-30,375,1023,0,10009,840000
2015-02-26,375,1023,0,10009,850000
2015-06-30,384,1225,2005,10002,6365000
2015-05-18,390,1002,0,10009,707000
2015-12-23,392,1075,1928,10009,931000
2015-09-15,392,1085,1928,10009,2180000
2015-04-30,392,1114,2005,10009,1987500
2015-04-14,396,1004,2008,10009,658000
2015-05-01,397,1106,0,10002,1780000
2015-09-24,405,1314,1965,10009,1725000
2015-11-18,372,1002,2003,10009,700000
2015-04-15,377,1004,0,10009,1595000
2015-01-07,377,1105,0,10009,2475000
2015-08-25,377,1301,2013,10009,965000
2015-07-29,377,1302,2013,10009,1527375
2015-09-01,377,1303,2013,10009,1500000
2015-08-06,377,1304,2013,10009,1629200
2015-07-29,377,1305,2013,10009,2117960
2015-08-31,377,1306,2013,10009,2150000
2015-04-08,384,1004,1905,10009,2495000
2015-09-04,390,1201,2013,10009,1832850
2015-01-20,390,1206,2013,10009,1934675
2015-08-20,394,1003,0,10009,916000
2015-08-14,394,1009,0,10009,715000
2015-09-03,394,1406,2006,10009,875000
2015-08-21,394,1407,2006,10009,890000
2015-10-26,394,1408,2006,10009,843750
2015-10-26,394,1409,2006,10009,843750
2015-01-09,394,1410,2006,10009,2900000
2015-12-18,402,1206,1920,10009,784052
2015-12-18,402,1207,1920,10009,834965
2015-06-10,405,1003,0,10009,2105000
2015-02-05,406,1101,2007,10009,840000
2015-03-23,389,1003,1900,10009,1345000
2015-07-06,389,1003,1900,10009,1337500
2015-09-29,399,1002,1920,10009,1225000
2015-09-04,407,1003,1920,10009,1400000
2015-09-29,407,1003,1920,10009,1405000
2015-11-19,384,1202,0,10002,3100000
2015-02-27,717,1,1900,10011,16150000
2015-02-27,717,2,1900,10011,19350000
2015-08-17,720,27,1900,10011,8750000
2015-08-17,722,2,1910,10001,6350000
2015-10-30,722,3,1910,10001,26500000
2015-08-25,722,11,1900,10011,8950000
2015-07-21,741,40,1900,10011,1090000
2015-07-14,741,40,1900,10011,8350000
2015-05-14,741,60,1910,10011,10000000
2015-05-07,742,33,1920,10011,6150000
2015-09-11,742,54,1910,10011,18250000
2015-12-17,743,64,1900,10011,8500000
2015-12-21,745,42,1920,10011,6800000
2015-01-29,764,30,1920,10011,3000000
2015-12-01,766,47,1910,10011,11000000
2015-07-13,774,74,1925,10001,21472000
2015-11-10,791,29,1914,10011,14600000
2015-11-10,791,30,1920,10011,12400000
2015-09-25,794,63,1901,10011,8575000
2015-06-18,699,9,2011,10001,37570000
2015-06-18,699,9,2011,10001,6630000
2015-09-10,716,55,1986,10011,27741149
2015-09-10,768,59,1986,10011,196705558
2015-07-28,773,27,1930,10011,72900000
2015-04-23,792,20,1918,10011,41500000
2015-08-17,717,61,1920,10011,3051000
2015-06-04,719,25,1900,10011,1275000
2015-06-04,719,25,1900,10011,1275000
2015-11-24,719,25,1900,10011,2469000
2015-04-22,720,10,1900,10011,2650000
2015-05-04,720,12,1900,10011,3250000
2015-09-08,720,14,1900,10011,3370000
